OBJECTID;CODIGO;POLARIS;CODIGOS_POLARIS;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INSTALACION;altitud;latitud;longitud;Barrancabermeja
9;2502700206;2502700206;1174;CECILIA [2502700206];Limnigráfica;Automática con Telemetría;Activa;2021-05-14;24;8.46361111;-75.03166667;219.5908997
59;26135320;26135320;118;NEVADO SANTA ISABEL  - AUT [26135320];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-10-17;4757;4.80261111;-75.38047222;295.8401959
69;23125170;23125170;183;SAN CAYETANO - AUT [23125170];Climática Principal;TEST005;Activa;2004-12-01;2807;5.33333333;-74.01666667;178.9772167
75;21195190;21195190;135;PASCA - AUT [21195190];Agrometeorológica;TEST005;En Mantenimiento;2005-08-26;2256;4.31011111;-74.31175;296.1518241
85;21255160;21255160;125;HACIENDA PAJONALES [21255160];Agrometeorológica;Automática con Telemetría;En Mantenimiento;2005-10-18;277;4.76072222;-74.83425;267.7758379
89;26155240;26155240;147;PNN NEVADOS - AUT [26155240];Climática Principal;Automática con Telemetría;En Mantenimiento;2007-08-24;3641;4.85944444;-75.38241667;290.9921515
91;21206980;21206980;207;SANTA CRUZ DE SIECHA  - AUT [21206980];Agrometeorológica;TEST005;En Mantenimiento;2005-11-08;3100;4.78427778;-73.87080556;237.7282381
95;21255170;21255170;115;MURILLO - AUT [21255170];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-10-21;2978;4.87055556;-75.17327778;276.2982122
96;35085070;35085070;189;SANTA MARIA - AUT [35085070];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-03-10;1300;4.84125;-73.25669444;237.796507
97;35025080;35025080;146;PNN CHINGAZA - AUT [35025080];Climática Principal;TEST005;En Mantenimiento;2007-12-06;3205;4.661;-73.82733;251.1498644
99;35237030;35237030;1501;TRINIDAD PAUTO - AUT [35237030];Limnigráfica;TEST005;Activa;2016-12-15;178;5.41438889;-71.66836111;285.992582
100;21209920;21209920;190;SANTA ROSITA - AUT [21209920];Limnigráfica;TEST005;En Mantenimiento;2005-05-19;2618;5.19225;-73.77905556;192.3493989
101;35215020;35215020;1507;AEROPUERTO YOPAL - AUT [35215020];Climática Principal;TEST005;Activa;2005-11-17;325;5.32044444;-72.3875;234.2401636
102;35075080;35075080;154;PARAMO RABANAL - AUT [35075080];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-03-13;3335;5.39239;-73.56278;171.6475229
104;26155220;26155220;237;VILLAMARIA - AUT [26155220];Climática Principal;Automática con Telemetría;En Mantenimiento;2004-06-14;1906;5.04866667;-75.51388889;284.5176145
105;35085060;35085060;247;ZETAQUIRA - AUT [35085060];Climática Principal;Automática con Telemetría;En Mantenimiento;2004-12-12;1436;5.29494444;-73.16994444;192.4842188
107;23017040;23017040;1114;ESPERANZA LA [23017040];Limnigráfica;TEST005;Activa;1988-09-15;550;5.20616667;-74.91372222;229.4405116
