OBJECTID;CODIGO;POLARIS;CODIGOS_POLARIS;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INSTALACION;altitud;latitud;longitud;Carimagua
90;35225030;35225030;1509;MODULOS - AUT [35225030];Climática Ordinaria;TEST005;Activa;15/12/2016;130;4.91047222;-71.43305556;39.91724093
91;21206980;21206980;207;SANTA CRUZ DE SIECHA  - AUT [21206980];Agrometeorológica;TEST005;En Mantenimiento;08/11/2005;3100;4.78427778;-73.87080556;282.4611334
96;35085070;35085070;189;SANTA MARIA - AUT [35085070];Climática Principal;Automática con Telemetría;En Mantenimiento;10/03/2005;1300;4.84125;-73.25669444;215.507033
97;35025080;35025080;146;PNN CHINGAZA - AUT [35025080];Climática Principal;TEST005;En Mantenimiento;06/12/2007;3205;4.661;-73.82733;276.8199356
99;35237030;35237030;1501;TRINIDAD PAUTO - AUT [35237030];Limnigráfica;TEST005;Activa;15/12/2016;178;5.41438889;-71.66836111;101.1250327
100;21209920;21209920;190;SANTA ROSITA - AUT [21209920];Limnigráfica;TEST005;En Mantenimiento;19/05/2005;2618;5.19225;-73.77905556;279.9089417
101;35215020;35215020;1507;AEROPUERTO YOPAL - AUT [35215020];Climática Principal;TEST005;Activa;17/11/2005;325;5.32044444;-72.3875;143.7488544
102;35075080;35075080;154;PARAMO RABANAL - AUT [35075080];Climática Principal;Automática con Telemetría;En Mantenimiento;13/03/2005;3335;5.39239;-73.56278;263.5657298
105;35085060;35085060;247;ZETAQUIRA - AUT [35085060];Climática Principal;Automática con Telemetría;En Mantenimiento;12/12/2004;1436;5.29494444;-73.16994444;219.0768316
108;35085080;35085080;42;LA CAPILLA - AUT [35085080];Climática Principal;Automática con Telemetría;En Mantenimiento;08/03/2005;1917;5.09919444;-73.436;240.5400532
110;35075070;35075070;48;CHINAVITA - AUT [35075070];Agrometeorológica;Automática con Telemetría;En Mantenimiento;06/03/2005;2006;5.21639;-73.34697;234.6216818
112;35165000;35165000;1607;EL TUNEL [35165000];Climática Ordinaria;Automática con Telemetría;Activa;31/12/2016;30;5.57497222;-72.941;210.3602898
115;35160010;35160010;1605;POTRERITO [35160010];Pluviométrica;TEST005;En Mantenimiento;31/12/2016;347;5.47758333;-72.94861111;205.5913551
116;35095120;35095120;12;AQUITANIA - AUT [35095120];Climática Principal;Automática con Telemetría;En Mantenimiento;06/12/2004;3026;5.55663;-72.88175;203.7318933
118;35195060;35195060;1512;TOQUILLA - AUT [35195060];Climática Ordinaria;TEST005;Activa;15/12/2016;2950;5.52361111;-72.79097222;193.3103146
120;35217060;35217060;1505;PLAYON EL [35217060];Limnigráfica;TEST005;Activa;15/12/2016;271;5.5405;-72.23172222;146.9074613
124;36015020;36015020;208;EL DIAMANTE - AUT [36015020];Climática Principal;Automática con Telemetría;En Mantenimiento;19/11/2005;160;5.81619444;-71.41983333;138.7902248
126;24035360;24035360;200;SOCHA - AUT [24035360];Climática Principal;Automática con Telemetría;Activa;10/12/2004;2503;5.98541667;-72.99702778;242.2311143
127;24035410;24035410;201;SOGAMOSO - AUT [24035410];Meteorológica Especial;Automática con Telemetría;Activa;06/12/2007;2495;5.72647;-72.92067;217.8733484
128;35215030;35215030;1510;Pisba - Aut [35215030];Climática Ordinaria;Automática con Telemetría;Activa;15/12/2016;1482;5.72055556;-72.48847222;180.9613634
129;24035430;24035430;220;TUNGUAVITA - AUT [24035430];Agrometeorológica;TEST005;Activa;15/12/2004;2521;5.74583;-73.11636;236.8966525
130;35160020;35160020;1604;LLANO ALARCON [35160020];Pluviométrica;Automática con Telemetría;Activa;31/12/2016;339;5.59972222;-72.91347222;209.2638283
131;24025090;24025090;111;MOGOTES - AUT [24025090];Agrometeorológica;TEST005;Activa;25/10/2004;1673;6.47;-72.96888889;277.859316
141;35025110;35025110;99;LA LIBERTAD - AUT [35025110];Agrometeorológica;TEST005;Activa;25/03/2007;336;4.05736111;-73.46791667;243.3733412
142;24035370;24035370;66;EL ESPINO - AUT [24035370];Climática Principal;Automática con Telemetría;Activa;19/11/2005;3510;6.50675;-72.45275;247.9874926
152;37057020;37057020;5;ALCARAVAN  AUT [37057020];Limnigráfica;TEST005;En Mantenimiento;15/11/1997;162;7.035;-71.41638889;273.3428461
198;35167020;35167020;1602;CRIADERO -AUT [35167020];Limnigráfica;Automática con Telemetría;Activa;31/12/2016;3025;5.557;-72.88047222;203.6346282
199;35167000;35167000;1603;CORPOBOYACA - SANTA INES -AUT [35167000];Limnigráfica;TEST005;Activa;31/12/2016;3041;5.545;-72.88411111;203.2650506
200;35217090;35217090;1503;LABRANZA GRANDE AUT [35217090];Limnigráfica;TEST005;Activa;15/12/2016;1125;5.56691667;-72.58355556;177.5014611
201;35185010;35185010;128;LA PALOMERA - AUT [35185010];Agrometeorológica;Automática con Telemetría;En Mantenimiento;18/05/2005;188;4.26036111;-72.56447222;140.679722
224;35235050;35235050;1511;TAMARA - AUT [35235050];Climática Ordinaria;TEST005;Activa;23/08/2017 9:31;117;5.81858333;-72.16677778;166.6644859
233;35037100;35037100;157;PUENTE ABADIA - AUT [35037100];Limnigráfica;TEST005;En Mantenimiento;15/04/1968;523;4.23533333;-73.63536111;257.9631779
664;24035250;24035250;338;CHITA  - AUT [24035250];Climática Ordinaria;TEST005;En Mantenimiento;15/12/1970;2961;6.18778;-72.46556;219.0022777
705;24015300;24015300;73;VILLA DE LEIVA  - AUT [24015300];Climática Principal;TEST005;En Mantenimiento;15/12/1979;2174;5.64326;-73.51774;269.9034585
817;24030950;24030950;103;MALAGA 2 [24030950];Pluviográfica;TEST005;En Mantenimiento;15/12/1973;2237;6.70638889;-72.72972222;282.8341635
884;35235010;35235010;1508;CARDON EL [35235010];Climática Ordinaria;TEST005;Activa;15/05/1974;3590;6.01166667;-72.52927778;207.7952324
924;35190070;35190070;1199;SAN JOSE [35190070];Pluviométrica;Convencional;Activa;15/11/1974;190;5.09191667;-72.45858333;137.7904808
1031;35197190;35197190;213;PAJARITO - AUT [35197190];Limnigráfica;TEST005;En Mantenimiento;15/05/1999;770;5.28347222;-72.70194444;171.3483131
1204;35195050;35195050;1197;CORINTO [35195050];Climática Ordinaria;Convencional;Activa;15/06/1984;1550;5.40727778;-72.71722222;179.5452901
1215;35217010;35217010;47;PUENTE YOPAL  - AUT [35217010];Limnigráfica;TEST005;Activa;15/11/1974;343;5.369;-72.41372222;149.2548259
1332;35020300;35020300;1170;GUTIERREZ [35020300];Climática Principal;Automática con Telemetría;Activa;15/07/1984;2300;4.25391667;-74.00269444;298.1100447
1358;35027001;35027001;1147;PLAZA DE FERIAS [35027001];Climática Ordinaria;Automática con Telemetría;Activa;21/07/2012;1670;4.40338889;-73.94055556;289.7590427
1359;35027002;35027002;1155;PARQUE RAFAEL NUNEZ [35027002];Climática Ordinaria;Automática con Telemetría;En Mantenimiento;21/07/2012;1671;4.40741667;-73.9475;290.500214
1401;35197070;35197070;1198;PUENTE LAS CANAS [35197070];Limnimétrica;Convencional;Activa;15/07/1980;3135;5.58669444;-72.81533333;199.4331509
