OBJECTID;CODIGO;POLARIS;CODIGOS_POLARIS;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INSTALACION;altitud;latitud;longitud;Guaviare
33;21117100;21117100;166;PUEBLO NUEVO - AUT [21117100];Limnigráfica;TEST005;En Mantenimiento;1983-06-15;1280;2.82744444;-75.08883333;275.3409966
61;21195170;21195170;129;PAQUILO - AUT [21195170];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-07-23;2957;3.99361111;-74.39805556;254.2512681
63;21167080;21167080;114;LA MORA - AUT [21167080];Limnigráfica;TEST005;En Mantenimiento;1990-10-15;464;3.72519444;-74.82644444;277.3870617
75;21195190;21195190;135;PASCA - AUT [21195190];Agrometeorológica;TEST005;En Mantenimiento;2005-08-26;2256;4.31011111;-74.31175;271.0369588
76;21137050;21137050;10;ANGOSTURA  - AUT [21137050];Limnigráfica;TEST005;En Mantenimiento;1975-01-15;345;3.44;-75.12;294.3713911
90;35225030;35225030;1509;MODULOS - AUT [35225030];Climática Ordinaria;TEST005;Activa;2016-12-15;130;4.91047222;-71.43305556;294.2671201
91;21206980;21206980;207;SANTA CRUZ DE SIECHA  - AUT [21206980];Agrometeorológica;TEST005;En Mantenimiento;2005-11-08;3100;4.78427778;-73.87080556;284.3465411
96;35085070;35085070;189;SANTA MARIA - AUT [35085070];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-03-10;1300;4.84125;-73.25669444;264.3217414
97;35025080;35025080;146;PNN CHINGAZA - AUT [35025080];Climática Principal;TEST005;En Mantenimiento;2007-12-06;3205;4.661;-73.82733;270.1081547
108;35085080;35085080;42;LA CAPILLA - AUT [35085080];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-03-08;1917;5.09919444;-73.436;297.2897859
141;35025110;35025110;99;LA LIBERTAD - AUT [35025110];Agrometeorológica;TEST005;Activa;2007-03-25;336;4.05736111;-73.46791667;192.4299555
201;35185010;35185010;128;LA PALOMERA - AUT [35185010];Agrometeorológica;Automática con Telemetría;En Mantenimiento;2005-05-18;188;4.26036111;-72.56447222;190.9099475
233;35037100;35037100;157;PUENTE ABADIA - AUT [35037100];Limnigráfica;TEST005;En Mantenimiento;1968-04-15;523;4.23533333;-73.63536111;218.7402198
565;21167060;21167060;185;SAN PABLO TOLIMA  - AUT [21167060];Limnigráfica;TEST005;En Mantenimiento;1971-04-15;744;3.92666667;-74.65694444;272.8518165
924;35190070;35190070;1199;SAN JOSE [35190070];Pluviométrica;Convencional;Activa;1974-11-15;190;5.09191667;-72.45858333;283.2913245
1100;21205791;21205791;2000;ELDORADO CATAM - AUT [21205791];Sinóptica Principal;TEST005;Activa;2002-10-31;2547;4.70558333;-74.15066667;293.502186
1332;35020300;35020300;1170;GUTIERREZ [35020300];Climática Principal;Automática con Telemetría;Activa;1984-07-15;2300;4.25391667;-74.00269444;243.7406655
1358;35027001;35027001;1147;PLAZA DE FERIAS [35027001];Climática Ordinaria;Automática con Telemetría;Activa;2012-07-21;1670;4.40338889;-73.94055556;252.7813778
1359;35027002;35027002;1155;PARQUE RAFAEL NUNEZ [35027002];Climática Ordinaria;Automática con Telemetría;En Mantenimiento;2012-07-21;1671;4.40741667;-73.9475;253.5896451
1440;35027150;35027150;2130;ANIMAS LAS [35027150];Limnigráfica;Convencional;Activa;1985-01-15;2840;4.13797222;-74.17380556;246.7154568
1561;21160260;21160260;164;PUERTO LLERAS TOLIMA  - AUT [21160260];Pluviográfica;Automática con Telemetría;En Mantenimiento;1996-05-16;1209;3.83977778;-74.68830556;270.5024306
1656;35027210;35027210;2131;CASETEJA-DELICIAS [35027210];Limnigráfica;Convencional;Suspendida;1980-05-14 19:00;866;4.19527778;-73.76888889;223.0225388
1841;21147010;21147010;290;SAN ALFONSO  - AUT [21147010];Limnimétrica;TEST005;En Mantenimiento;1963-11-15;420;3.3705;-75.11416667;291.2413598
2005;21206280;21206280;20;ACAPULCO [21206280];Climática Principal;TEST005;En Mantenimiento;1990-02-15;2680;4.64823;-74.32035;299.7804637
2006;35060210;35060210;2123;CLARAVAL [35060210];Climática Principal;TEST005;Activa;1972-02-15;2100;4.65025;-73.64144444;259.4872001
3230;3502500135;3502500135;1154;GUAYABETAL POLLO OLIMPICO - AUT [3502500135];Meteorológica Especial;Automática con Telemetría;Activa;2019-07-25;1293;4.22553;-73.81481;228.6802717
3478;21197010;21197010;155;EL PROFUNDO - AUT [21197010];Limnigráfica;TEST005;En Mantenimiento;1954-04-15;1860;4.01169444;-74.50444444;264.7206697
3760;3206500058;3206500058;98;LEJANÍAS - AUT [3206500058];Climática Principal;Automática con Telemetría;En Mantenimiento;2017-12-27;661;3.51827;-74.00627;187.7672555
3776;3508700103;3508700103;134;PUENTE CAMPANA - AUT [3508700103];Limnigráfica;Automática con Telemetría;En Mantenimiento;2018-03-10;475;4.84416667;-73.22303056;263.672617
3812;3507500046;3507500046;74;GRANJA GUAYATA - AUT   [3507500046];Climática Principal;Automática con Telemetría;En Mantenimiento;2017-12-18;1580;4.97608;-73.48264;286.0249054
3886;35027100;35027100;456;CARAZA  - AUT [35027100];Limnigráfica;TEST005;En Mantenimiento;1970-01-15;220;4.42863889;-74.01019444;259.5601857
3887;35025090;35025090;27;BOSQUE INTERVENIDO  - AUT [35025090];Climática Principal;Automática con Telemetría;En Mantenimiento;2008-07-09;2944;4.66488889;-73.84663889;271.5434101
3951;3505500061;3505500061;281;MEDINA - AUT [3505500061];Climática Principal;Automática con Telemetría;Activa;2017-12-30;533;4.51;-73.34999722;232.5861187
3957;35035100;35035100;82;ICA VILLAVICENCIO  - AUT [35035100];Agrometeorológica;Automática con Telemetría;En Mantenimiento;2007-03-22;444;4.14;-73.62;208.8542355
4016;21206600;21206600;122;NUEVA GENERACION  - AUT [21206600];Climática Principal;TEST005;En Mantenimiento;2001-11-15;2590;4.78222222;-74.09433333;296.988346
4017;21206960;21206960;83;IDEAM BOGOTA CENTRO- AUT [21206960];Climática Principal;Automática con Telemetría;Suspendida;2005-04-11;2646;4.6;-74.06666667;278.5994343
4023;35107040;35107040;328;GUAICARAMO  - AUT [35107040];Limnigráfica;TEST005;En Mantenimiento;1981-03-15;264;4.68909444;-73.04651944;242.6254646
4025;21205710;21205710;89;JARDIN BOTANICO  - AUT [21205710];Climática Principal;TEST005;Activa;1974-09-15;2552;4.66933333;-74.10266667;287.1673586
4041;3502700146;3502700146;1144;GUAYABETAL RIO NEGRO 1 - AUT [3502700146];Limnigráfica;TEST005;Suspendida;2019-06-28;997;4.227132;-73.819327;229.1140841
4058;21197080;21197080;452;BONANZA LA HACIENDA  - AUT [21197080];Limnigráfica;TEST005;En Mantenimiento;1993-08-15;1520;4.40002778;-74.36358333;282.2090461
